Timestamp_Offset,Kinematic_Metric,Calculated_Value,Safety_Classification
5083.0,knee_flexion_depth,33.63,RED
5083.078,knee_flexion_depth,25.57,RED
5083.156,knee_flexion_depth,20.96,RED
5083.234,knee_flexion_depth,24.84,RED
5083.312,knee_flexion_depth,28.58,RED
5083.39,knee_flexion_depth,26.24,RED
5083.453,knee_flexion_depth,26.27,RED
5083.531,knee_flexion_depth,36.76,RED
5083.609,knee_flexion_depth,33.11,RED
5083.687,knee_flexion_depth,38.25,RED
5083.765,knee_flexion_depth,46.95,RED
5083.843,knee_flexion_depth,52.13,RED
5083.921,knee_flexion_depth,54.42,RED
5084.0,knee_flexion_depth,51.05,RED
5084.062,knee_flexion_depth,50.17,RED
5084.14,knee_flexion_depth,50.9,RED
5084.218,knee_flexion_depth,53.65,RED
5084.296,knee_flexion_depth,53.87,RED
5084.375,knee_flexion_depth,53.55,RED
5084.453,knee_flexion_depth,48.9,RED
5084.531,knee_flexion_depth,49.5,RED
5084.609,knee_flexion_depth,45.11,RED
5084.687,knee_flexion_depth,41.56,RED
5084.765,knee_flexion_depth,45.41,RED
5084.843,knee_flexion_depth,46.7,RED
5084.921,knee_flexion_depth,58.43,RED
5085.0,knee_flexion_depth,51.72,RED
5085.062,knee_flexion_depth,51.41,RED
5085.14,knee_flexion_depth,56.3,RED
5085.218,knee_flexion_depth,62.18,RED
5085.296,knee_flexion_depth,63.77,RED
5085.359,knee_flexion_depth,63.6,RED
5085.437,knee_flexion_depth,80.91,RED
5085.515,knee_flexion_depth,97.66,RED
5085.593,knee_flexion_depth,104.2,RED
5087.781,knee_flexion_depth,60.17,RED
5087.859,knee_flexion_depth,61.04,RED
5087.953,knee_flexion_depth,63.21,RED
5088.031,knee_flexion_depth,62.84,RED
5088.109,knee_flexion_depth,62.8,RED
5088.203,knee_flexion_depth,63.52,RED
5088.281,knee_flexion_depth,63.01,RED
5088.359,knee_flexion_depth,61.58,RED
5088.437,knee_flexion_depth,61.14,RED
5088.562,knee_flexion_depth,56.91,RED
5088.64,knee_flexion_depth,57.22,RED
5088.718,knee_flexion_depth,55.92,RED
5088.796,knee_flexion_depth,53.61,RED
5088.875,knee_flexion_depth,51.68,RED
5088.937,knee_flexion_depth,53.47,RED
5089.015,knee_flexion_depth,58.11,RED
5089.078,knee_flexion_depth,58.14,RED
5089.14,knee_flexion_depth,58.07,RED
5089.218,knee_flexion_depth,59.94,RED
5089.296,knee_flexion_depth,54.61,RED
5089.375,knee_flexion_depth,52.32,RED
5089.453,knee_flexion_depth,49.57,RED
5089.515,knee_flexion_depth,48.72,RED
5089.593,knee_flexion_depth,47.72,RED
5089.671,knee_flexion_depth,49.56,RED
5089.75,knee_flexion_depth,45.8,RED
5089.828,knee_flexion_depth,43.46,RED
5089.906,knee_flexion_depth,44.46,RED
5090.0,knee_flexion_depth,45.87,RED
5090.078,knee_flexion_depth,45.25,RED
5090.171,knee_flexion_depth,48.25,RED
5090.25,knee_flexion_depth,51.08,RED
5090.328,knee_flexion_depth,51.18,RED
5090.406,knee_flexion_depth,53.24,RED
5090.484,knee_flexion_depth,54.43,RED
5090.562,knee_flexion_depth,55.36,RED
5090.625,knee_flexion_depth,52.04,RED
5090.703,knee_flexion_depth,49.7,RED
5090.765,knee_flexion_depth,51.89,RED
5090.843,knee_flexion_depth,49.84,RED
5090.921,knee_flexion_depth,51.99,RED
5091.0,knee_flexion_depth,57.08,RED
5091.062,knee_flexion_depth,53.0,RED
5091.125,knee_flexion_depth,54.28,RED
5091.203,knee_flexion_depth,61.31,RED
5091.281,knee_flexion_depth,82.66,RED
5091.359,knee_flexion_depth,95.02,RED
5094.984,knee_flexion_depth,51.68,RED
5095.062,knee_flexion_depth,54.85,RED
5095.125,knee_flexion_depth,53.67,RED
5095.203,knee_flexion_depth,55.95,RED
5095.265,knee_flexion_depth,55.62,RED
5095.343,knee_flexion_depth,56.7,RED
5095.421,knee_flexion_depth,55.81,RED
5095.5,knee_flexion_depth,57.52,RED
5095.562,knee_flexion_depth,60.02,RED
5095.64,knee_flexion_depth,64.21,RED
5095.718,knee_flexion_depth,61.94,RED
5095.781,knee_flexion_depth,61.6,RED
5095.859,knee_flexion_depth,61.58,RED
5095.937,knee_flexion_depth,62.41,RED
5096.0,knee_flexion_depth,62.84,RED
5096.078,knee_flexion_depth,56.09,RED
5096.156,knee_flexion_depth,57.31,RED
5096.218,knee_flexion_depth,59.63,RED
5096.296,knee_flexion_depth,61.06,RED
5096.375,knee_flexion_depth,60.27,RED
5096.437,knee_flexion_depth,71.0,RED
5096.828,knee_flexion_depth,51.61,RED
5096.921,knee_flexion_depth,51.32,RED
5096.984,knee_flexion_depth,54.65,RED
5097.062,knee_flexion_depth,58.51,RED
5097.125,knee_flexion_depth,61.92,RED
5097.203,knee_flexion_depth,62.98,RED
5097.281,knee_flexion_depth,60.85,RED
5097.343,knee_flexion_depth,55.48,RED
5097.421,knee_flexion_depth,60.11,RED
5097.5,knee_flexion_depth,61.05,RED
5097.562,knee_flexion_depth,62.45,RED
5097.64,knee_flexion_depth,63.08,RED
5097.718,knee_flexion_depth,62.2,RED
5097.781,knee_flexion_depth,61.23,RED
5097.859,knee_flexion_depth,57.76,RED
5097.937,knee_flexion_depth,56.09,RED
5098.015,knee_flexion_depth,60.82,RED
5098.078,knee_flexion_depth,63.51,RED
5098.156,knee_flexion_depth,59.47,RED
5098.218,knee_flexion_depth,61.33,RED
5098.296,knee_flexion_depth,62.92,RED
5098.359,knee_flexion_depth,70.72,RED
5098.437,knee_flexion_depth,66.72,RED
5101.828,knee_flexion_depth,62.82,RED
5101.921,knee_flexion_depth,62.25,RED
5102.015,knee_flexion_depth,62.1,RED
5102.078,knee_flexion_depth,62.35,RED
5102.156,knee_flexion_depth,64.43,RED
5102.234,knee_flexion_depth,66.11,RED
5102.312,knee_flexion_depth,65.53,RED
5102.39,knee_flexion_depth,66.39,RED
5102.468,knee_flexion_depth,58.37,RED
5102.546,knee_flexion_depth,52.28,RED
5102.625,knee_flexion_depth,52.19,RED
5102.703,knee_flexion_depth,52.67,RED
5102.781,knee_flexion_depth,51.99,RED
5102.859,knee_flexion_depth,53.08,RED
5102.937,knee_flexion_depth,50.57,RED
5103.015,knee_flexion_depth,49.83,RED
5103.093,knee_flexion_depth,49.52,RED
5103.171,knee_flexion_depth,51.19,RED
5103.25,knee_flexion_depth,42.03,RED
5103.328,knee_flexion_depth,46.04,RED
5103.406,knee_flexion_depth,44.99,RED
5103.5,knee_flexion_depth,47.94,RED
5103.578,knee_flexion_depth,51.17,RED
5103.64,knee_flexion_depth,52.85,RED
5103.718,knee_flexion_depth,57.9,RED
5103.796,knee_flexion_depth,63.53,RED
5103.875,knee_flexion_depth,68.63,RED
5103.953,knee_flexion_depth,73.39,RED
5104.015,knee_flexion_depth,77.27,RED
5104.093,knee_flexion_depth,82.0,RED
5104.171,knee_flexion_depth,74.61,RED
5113.156,knee_flexion_depth,59.53,RED
5113.234,knee_flexion_depth,61.76,RED
5113.328,knee_flexion_depth,62.15,RED
5113.39,knee_flexion_depth,60.68,RED
5113.468,knee_flexion_depth,61.17,RED
5113.546,knee_flexion_depth,59.74,RED
5113.609,knee_flexion_depth,62.59,RED
5113.687,knee_flexion_depth,63.0,RED
5113.765,knee_flexion_depth,63.62,RED
5113.843,knee_flexion_depth,63.74,RED
5113.937,knee_flexion_depth,61.48,RED
5114.0,knee_flexion_depth,53.7,RED
5114.078,knee_flexion_depth,51.77,RED
5114.156,knee_flexion_depth,44.18,RED
5114.234,knee_flexion_depth,41.13,RED
5114.312,knee_flexion_depth,39.75,RED
5114.39,knee_flexion_depth,37.81,YELLOW
5114.468,knee_flexion_depth,34.84,GREEN
5114.546,knee_flexion_depth,33.8,GREEN
5114.625,knee_flexion_depth,34.94,GREEN
5114.687,knee_flexion_depth,30.68,GREEN
5114.781,knee_flexion_depth,29.11,GREEN
5114.859,knee_flexion_depth,30.03,GREEN
5114.937,knee_flexion_depth,26.64,GREEN
5115.0,knee_flexion_depth,26.52,GREEN
5115.078,knee_flexion_depth,27.92,GREEN
5115.14,knee_flexion_depth,28.65,GREEN
5115.218,knee_flexion_depth,28.7,GREEN
5115.281,knee_flexion_depth,27.45,GREEN
5115.359,knee_flexion_depth,27.19,GREEN
5115.421,knee_flexion_depth,27.32,GREEN
5115.5,knee_flexion_depth,29.65,GREEN
5115.578,knee_flexion_depth,28.67,GREEN
5115.656,knee_flexion_depth,30.6,GREEN
5115.734,knee_flexion_depth,28.89,GREEN
5115.796,knee_flexion_depth,31.34,GREEN
5115.89,knee_flexion_depth,33.2,GREEN
5115.968,knee_flexion_depth,37.09,GREEN
5116.046,knee_flexion_depth,37.04,GREEN
5116.109,knee_flexion_depth,36.86,GREEN
5116.203,knee_flexion_depth,35.69,GREEN
5116.265,knee_flexion_depth,37.09,GREEN
5116.343,knee_flexion_depth,38.75,GREEN
5116.421,knee_flexion_depth,38.93,GREEN
5116.484,knee_flexion_depth,40.29,GREEN
5116.578,knee_flexion_depth,40.79,GREEN
5116.656,knee_flexion_depth,39.4,GREEN
5116.734,knee_flexion_depth,38.61,GREEN
5116.796,knee_flexion_depth,40.47,GREEN
5116.875,knee_flexion_depth,40.37,GREEN
5116.953,knee_flexion_depth,39.76,GREEN
