Timestamp_Offset,Kinematic_Metric,Calculated_Value,Safety_Classification
1000.0,knee_flexion_depth,25.56,GREEN
1000.0,frontal_plane_knee_projection_angle,9.41,GREEN
1000.03,knee_flexion_depth,45.19,GREEN
1000.03,frontal_plane_knee_projection_angle,5.93,GREEN
1000.06,knee_flexion_depth,13.57,GREEN
1000.06,frontal_plane_knee_projection_angle,1.54,GREEN
1000.09,knee_flexion_depth,8.19,GREEN
1000.09,frontal_plane_knee_projection_angle,8.58,GREEN
1000.12,knee_flexion_depth,38.0,GREEN
1000.12,frontal_plane_knee_projection_angle,7.01,GREEN
1000.15,knee_flexion_depth,6.13,GREEN
1000.15,frontal_plane_knee_projection_angle,9.6,GREEN
1000.18,knee_flexion_depth,50.7,GREEN
1000.18,frontal_plane_knee_projection_angle,2.1,GREEN
1000.21,knee_flexion_depth,14.98,GREEN
1000.21,frontal_plane_knee_projection_angle,1.82,GREEN
1000.24,knee_flexion_depth,21.7,GREEN
1000.24,frontal_plane_knee_projection_angle,5.2,GREEN
1000.27,knee_flexion_depth,28.71,GREEN
1000.27,frontal_plane_knee_projection_angle,2.88,GREEN
1000.3,knee_flexion_depth,38.59,GREEN
1000.3,frontal_plane_knee_projection_angle,1.38,GREEN
1000.33,knee_flexion_depth,21.04,GREEN
1000.33,frontal_plane_knee_projection_angle,3.63,GREEN
1000.36,knee_flexion_depth,30.04,GREEN
1000.36,frontal_plane_knee_projection_angle,7.77,GREEN
1000.39,knee_flexion_depth,15.96,GREEN
1000.39,frontal_plane_knee_projection_angle,5.09,GREEN
1000.42,knee_flexion_depth,37.52,GREEN
1000.42,frontal_plane_knee_projection_angle,0.46,GREEN
1000.45,knee_flexion_depth,38.35,GREEN
1000.45,frontal_plane_knee_projection_angle,1.69,GREEN
1000.48,knee_flexion_depth,8.57,GREEN
1000.48,frontal_plane_knee_projection_angle,9.39,GREEN
1000.51,knee_flexion_depth,58.01,GREEN
1000.51,frontal_plane_knee_projection_angle,8.0,GREEN
1000.54,knee_flexion_depth,21.72,GREEN
1000.54,frontal_plane_knee_projection_angle,0.97,GREEN
1000.57,knee_flexion_depth,42.56,GREEN
